location_query,aqi
são paulo|são paulo|brasil,
são paulo|são paulo|brazil,69.0
brasília|são paulo|brazil,
brasília|distrito federal|brazil,
belo horizonte|minas gerais|brazil,
cataguases|sao paulo|brazil,
sao paulo|sao paulo|brazil,69.0
são paulo|sao paulo|brazil,69.0
abu dhabi|abu dhabi|united arab emirates,156.0
a corua (la corua)|galicia|spain,
acua|coahuila de zaragoza|mexico,
acua|acua|mexico,
adana|adana|turkey,
addis abeba|addis abeba|ethiopia,
aden|aden|yemen,
adoni|andhra pradesh|india,
ahmadnagar|maharashtra|india,
akishima|tokyo-to|japan,
abha|asir|saudi arabia,
okayama|okayama|japan,77.0
bern|bern|switzerland,33.0
cuautla|morelos|mexico,
mexicali|baja california|mexico,47.0
santiago de los caballeros|santiago|dominican republic,
malm|skne ln|sweden,
tarsus|adana|turkey,
plock|mazowieckie|poland,
dadu|sind|pakistan,
koriyama|fukushima|japan,
ozamis|northern mindanao|philippines,
tambaram|tamil nadu|india,
po|so paulo|brazil,
akron|ohio|usa,
york|england|united kingdom,
san lorenzo|central|paraguay,
songkhla|songkhla|thailand,
southend-on-sea|england|united kingdom,
sokoto|sokoto & kebbi & zam|nigeria,
sokoto|sokoto|nigeria,
yantai|shandong|china,
fukuyama|hiroshima|japan,
satna|madhya pradesh|india,
sivas|sivas|turkey,
tangail|dhaka|bangladesh,
sincelejo|sucre|colombia,
laohekou|hubei|china,
usolje-sibirskoje|irkutsk|russia,
el fuerte|sinaloa|mexico,
kurgan|kurgan|russia,
bhopal|madhya pradesh|india,
kaliningrad|kaliningrad|russia,
tianjin|tianjin|china,
florencia|caquet|colombia,
parbhani|maharashtra|india,
uluberia|west bengali|india,
greensboro|north carolina|usa,
al-ayn|abu dhabi|united arab emirates,
pathankot|punjab|india,
yerevan|yerevan|armenia,
faaa|tahiti|french polynesia,
ashdod|ha darom|israel,
blumenau|santa catarina|brazil,
yingkou|liaoning|china,90.0
battambang|battambang|cambodia,
baku|baki|azerbaijan,17.0
springs|gauteng|south africa,
arlington|texas|usa,
san miguel de tucumn|tucumn|argentina,
maikop|adygea|russia,
najafabad|esfahan|iran,
balaiha|moskova|russia,
kanazawa|ishikawa|japan,73.0
imus|southern tagalog|philippines,
dallas|texas|usa,39.0
yamuna nagar|haryana|india,
sawhaj|sawhaj|egypt,
haining|zhejiang|china,
ogbomosho|oyo & osun|nigeria,
ogbomosho|ogbomosho|nigeria,
hodeida|hodeida|yemen,
xiangtan|hunan|china,
salamanca|guanajuato|mexico,
jedda|mekka|saudi arabia,
pavlodar|pavlodar|kazakstan,
jinzhou|liaoning|china,
"mwene-ditu|east kasai|congo, the democratic republic of the",
juiz de fora|minas gerais|brazil,
lublin|lubelskie|poland,
hiroshima|hiroshima|japan,
rajkot|gujarat|india,
quilmes|buenos aires|argentina,
salala|zufar|oman,
ipoh|perak|malaysia,
novoterkassk|rostov-na-donu|russia,
botshabelo|free state|south africa,
laiwu|shandong|china,
iwatsuki|saitama|japan,
arak|markazi|iran,
beijing|beijing|china,
paris|ile-de-france|france,
