country_query,data
india,"{'name_common': 'India', 'name_official': 'Republic of India', 'population': 1380004385, 'region': 'Asia', 'subregion': 'Southern Asia'}"
china,"{'name_common': 'Macau', 'name_official': ""Macao Special Administrative Region of the People's Republic of China"", 'population': 649342, 'region': 'Asia', 'subregion': 'Eastern Asia'}"
united states,"{'name_common': 'United States', 'name_official': 'United States of America', 'population': 329484123, 'region': 'Americas', 'subregion': 'North America'}"
japan,"{'name_common': 'Japan', 'name_official': 'Japan', 'population': 125836021, 'region': 'Asia', 'subregion': 'Eastern Asia'}"
mexico,"{'name_common': 'Mexico', 'name_official': 'United Mexican States', 'population': 128932753, 'region': 'Americas', 'subregion': 'North America'}"
brazil,"{'name_common': 'Brazil', 'name_official': 'Federative Republic of Brazil', 'population': 212559409, 'region': 'Americas', 'subregion': 'South America'}"
russian federation,"{'name_common': 'Russia', 'name_official': 'Russian Federation', 'population': 144104080, 'region': 'Europe', 'subregion': 'Eastern Europe'}"
philippines,"{'name_common': 'Philippines', 'name_official': 'Republic of the Philippines', 'population': 109581085, 'region': 'Asia', 'subregion': 'South-Eastern Asia'}"
turkey,"{'name_common': 'Turkey', 'name_official': 'Republic of Turkey', 'population': 84339067, 'region': 'Asia', 'subregion': 'Western Asia'}"
indonesia,"{'name_common': 'Indonesia', 'name_official': 'Republic of Indonesia', 'population': 273523621, 'region': 'Asia', 'subregion': 'South-Eastern Asia'}"
nigeria,"{'name_common': 'Nigeria', 'name_official': 'Federal Republic of Nigeria', 'population': 206139587, 'region': 'Africa', 'subregion': 'Western Africa'}"
argentina,"{'name_common': 'Argentina', 'name_official': 'Argentine Republic', 'population': 45376763, 'region': 'Americas', 'subregion': 'South America'}"
south africa,"{'name_common': 'South Africa', 'name_official': 'Republic of South Africa', 'population': 59308690, 'region': 'Africa', 'subregion': 'Southern Africa'}"
taiwan,"{'name_common': 'Taiwan', 'name_official': 'Republic of China (Taiwan)', 'population': 23503349, 'region': 'Asia', 'subregion': 'Eastern Asia'}"
iran,"{'name_common': 'Cook Islands', 'name_official': 'Cook Islands', 'population': 18100, 'region': 'Oceania', 'subregion': 'Polynesia'}"
united kingdom,"{'name_common': 'United Kingdom', 'name_official': 'United Kingdom of Great Britain and Northern Ireland', 'population': 67215293, 'region': 'Europe', 'subregion': 'Northern Europe'}"
poland,"{'name_common': 'Poland', 'name_official': 'Republic of Poland', 'population': 37950802, 'region': 'Europe', 'subregion': 'Central Europe'}"
germany,"{'name_common': 'Germany', 'name_official': 'Federal Republic of Germany', 'population': 83240525, 'region': 'Europe', 'subregion': 'Western Europe'}"
italy,"{'name_common': 'Italy', 'name_official': 'Italian Republic', 'population': 59554023, 'region': 'Europe', 'subregion': 'Southern Europe'}"
vietnam,"{'name_common': 'Vietnam', 'name_official': 'Socialist Republic of Vietnam', 'population': 97338583, 'region': 'Asia', 'subregion': 'South-Eastern Asia'}"
