city_query,temperatura
brasília,19.0
springs,8.2
aurora,13.7
london,8.1
saint-denis,21.1
cape coral,28.9
molodetno,
tanza,32.2
changhwa,22.4
changzhou,28.0
ourense (orense),6.2
bijapur,25.5
santa brbara doeste,26.8
apeldoorn,11.2
kolpino,6.2
qomsheh,17.3
nantou,32.0
richmond hill,10.0
skikda,19.7
beira,21.1
ikerre,22.3
acua,23.6
adana,19.2
addis abeba,18.3
aden,29.2
adoni,26.8
ahmadnagar,26.2
akishima,25.4
akron,11.7
al-ayn,26.5
alessandria,14.1
al-hawiya,15.6
allappuzha (alleppey),24.1
allende,34.5
al-manama,32.2
almirante brown,12.4
al-qadarif,31.5
al-qatif,18.3
memphis,26.4
halisahar,30.3
omdurman,30.2
santa rosa,32.3
valparai,16.0
bhilwara,31.0
tanauan,29.2
hodeida,28.7
sumy,9.0
zhoushan,29.8
usolje-sibirskoje,
lengshuijiang,26.2
donostia-san sebastin,29.0
probolinggo,27.8
najafabad,15.2
okayama,25.1
bern,10.3
cuautla,33.2
mexicali,34.4
santiago de los caballeros,25.3
malm,8.1
tarsus,19.3
plock,3.2
dadu,29.4
koriyama,25.2
ozamis,29.9
tambaram,29.2
po,
york,8.1
san lorenzo,23.0
songkhla,30.3
southend-on-sea,6.3
sokoto,30.9
yantai,29.2
fukuyama,24.0
satna,36.6
sivas,2.3
tangail,29.0
sincelejo,24.2
laohekou,31.4
el fuerte,26.6
kurgan,15.5
bhopal,26.2
kaliningrad,6.1
tianjin,30.3
florencia,19.8
parbhani,30.3
uluberia,31.3
greensboro,22.2
pathankot,32.1
yerevan,11.0
faaa,30.3
ashdod,17.3
blumenau,23.1
yingkou,24.0
battambang,30.7
baku,18.3
arlington,27.2
san miguel de tucumn,33.6
maikop,8.0
abha,19.2
abu dhabi,28.2
a corua (la corua),25.1
alvorada,24.9
ambattur,29.2
amersfoort,9.4
amroha,33.4
angra dos reis,19.4
anpolis,
antofagasta,15.3
aparecida de goinia,14.8
araatuba,
arak,20.8
arecibo,25.1
ashgabat,27.3
asuncin,
athenai,
atinsk,
augusta-richmond county,15.3
avellaneda,15.4
baha blanca,16.2
baicheng,21.0
baiyin,24.6
balaiha,
balikesir,7.2
balurghat,30.3
bamenda,17.1
bandar seri begawan,30.4
banjul,22.2
batman,11.2
batna,18.2
baybay,30.3
bayugan,30.5
bchar,19.2
belm,17.2
benguela,22.6
beni-mellal,17.4
benin city,23.3
bergamo,16.0
berhampore (baharampur),30.2
bhavnagar,30.4
bhimavaram,33.1
bhusawal,30.8
bilbays,19.3
binzhou,37.4
birgunj,29.0
boa vista,26.2
boksburg,15.3
botosani,7.2
botshabelo,8.4
bradford,8.2
braslia,
bratislava,13.1
brescia,18.3
brindisi,13.3
brockton,11.7
bucuresti,8.0
buenaventura,23.7
cabuyao,24.7
callao,18.5
cam ranh,29.5
caracas,27.3
carmen,29.5
cavite,33.3
cayenne,25.0
celaya,29.0
chandrapur,35.0
charlotte amalie,28.1
cheju,21.1
chiayi,
chisinau,6.1
chungho,33.1
cianjur,27.3
ciomas,29.4
ciparay,26.8
citrus heights,28.1
citt del vaticano,26.0
coacalco de berriozbal,23.6
coatzacoalcos,32.1
compton,20.1
coquimbo,14.4
crdoba,
cuauhtmoc,
cuernavaca,33.2
cuman,24.8
czestochowa,7.3
dallas,27.8
datong,30.8
daugavpils,4.2
davao,29.1
daxian,29.5
dayton,17.4
deba habe,27.0
dhaka,30.3
dhule (dhulia),30.0
dongying,36.6
dos quebradas,22.1
duisburg,9.3
dundee,10.2
dzerzinsk,
ede,20.5
effon-alaiye,21.7
el alto,22.3
elista,11.6
el monte,25.3
emeishan,25.2
emmen,7.3
erlangen,5.2
escobar,21.8
esfahan,16.1
eskisehir,6.0
etawah,37.6
ezeiza,12.4
ezhou,29.6
fengshan,32.2
firozabad,38.4
fontana,26.7
funafuti,30.0
fuyu,18.8
garden grove,22.3
garland,26.3
